Species,Length,Weight,Rod and Reel,Bow and Arrow
Alewife,,,0  lbs. 3.5 oz.,0 lbs. 2 oz
Largemouth Bass,5,20,10 lbs. 11 oz.,8 lbs. 14 oz.
Rock Bass,1,11,2 lbs. 4 oz.,1 lb. 6 oz.
Smallmouth Bass,3,18,7 lbs. 4 oz.,3 lbs. 9 oz.
Spotted Bass,3,18,3 lbs. 12. oz,2 lbs. 6 oz.
Striped Bass,10,32,64 lbs. 15 oz.,8 lbs. 5 oz.
Striper Hybrid,8,24,21 lbs. 9 oz.,15 lbs. 9 oz.
White Bass,2.5,17,5 lbs.,3 lbs.
Yellow Bass,,,1 lbs. 9 oz.,
Bowfin,,,8 lbs.,
Bigmouth Buffalo,10,26,64 lbs.,63 lbs
Black Buffalo,10,26,41 lbs.,16 lbs. 10 oz.
Smallmouth Buffalo,10,26,56 lbs. 3 oz.,60 lbs. 2 oz.
Bullhead,2,15,,1 lbs. 11 oz.
Black Bullhead,2,15,3 lbs. 15 oz.,
Yellow Bullhead,2,15,2 lbs. 4 oz.,
Burbot,1,16,6 lbs. 9 oz.,
Bighead Carp,,,53 lbs. 3 oz.,81 lbs. 14 oz.
Common Carp,15,32,39 lbs. 8 oz.,50 lbs. 5 oz.
Grass Carp,22,36,64 lbs.,79 lbs. 10 oz.
Hybrid Grass Carp,,,,43 lbs. 3 oz.
Silver Carp,,,37 lbs. 6 oz.,38 lbs. 10 oz.
Quillback Carpsucker,,,13 lbs. 10 oz.,11 lbs. 2 oz.
River Carpsucker,,,13 lbs. 4 oz.,15 lbs. 12 oz.
Channel Catfish,12,30,41 lbs. 8 oz.,31 lbs. 13 oz.
Flathead Catfish,15,32,89 lbs.,55 lbs.
Blue Catfish,30,40,100 lbs. 8 oz.,40 lbs. 13 oz.
Stonecat,,,0 lbs. 5.2 oz.,
Creek Chub,,,1 lbs. 1 oz.,0 lbs. 3 oz.
Flathead Chub,,,0 lbs. 3 oz.,0 lbs. 4 oz.
Black Crappie,2,15,4 lbs. 8 oz.,1 lbs. 14 oz.
Triploid Crappie,2,15,3 lbs. 4 oz.,
White Crappie,2,15,4 lbs. 1 oz.,2 lbs. 13 oz.
Freshwater Drum,5,22,29 lbs. 6 oz.,22 lbs. 13 oz.
American Eel,,,5 lbs.,
Longnose Gar,8,40,23 lbs. 11 oz.,22 lbs. 13 oz.
Shortnose Gar,3,26,7 lbs. 5 oz.,9 lbs. 14 oz.
Spotted Gar,3,26,,2 lbs. 15 oz.
Goldeye,1.5,16,3 lbs. 15.5 oz.,2 lbs. 1 oz.
Goldfish,,,4 lbs. 3 oz.,4 lbs. 8 oz.
Skipjack Herring,,,2 lbs. 14 oz.,
Muskellunge,15,40,41 lbs. 8 oz.,31 lbs. 11 oz.
Tiger muskellunge,15,40,33 lbs. 5 oz.,13 lbs. 14 oz.
Paddlefish,50,45,113 lbs. 4 oz.,89 lbs.
Sacremento Perch,,,2 lbs. 8 oz.,
White Perch,1,12,2 lbs. 7 oz.,1 lbs. 11 oz.
Yellow Perch,1.25,13,2 lbs. 10.75 oz.,1 lbs. 2 oz.
Grass Pickerel,,,10 oz.,
Northern Pike,10,36,30 lbs. 1 oz.,21 lbs. 14 oz.
European Rudd,,,3 lbs. 3 oz.,3 lbs. 7 oz.
Chinook Salmon,,,7 lbs. 5 oz.,
Coho Salmon,,,5 lbs. 12 oz.,
Kokanee Salmon,,,4 lbs. 2 oz.,
Sauger,3,21,8 lbs. 5 oz,3 lbs. 8 oz.
Saugeye,5,23,8 lbs. 14 oz.,
Gizzard Shad,,,4 lbs. 7.75 oz.,5 lbs. 5 oz.
Golden Shiner,,,0 lbs. 14 oz.,
Shovelnose Sturgeon,2.5,28,4 lbs. 8 oz.,
Sucker,2,18,9 lbs.,
Longnose Sucker,2,18,2 lbs. 7 oz.,
Blue Sucker,2,18,18 lbs. 14 oz.,11 lbs. 1 oz.
Shorthead Redhorse,2,18,3 lbs. 8 oz.,3 lbs.
White Sucker,2,18,6 lbs. 1 oz.,6 lbs. 6 oz.
Bluegill,1,10,2 lbs. 13 oz.,1 lbs. 6 oz.
Green Sunfish,1,10,1 lbs. 14 oz.,0 lbs. 9.6 oz.
Hybrid Sunfish,1,10,1 lbs. 15 oz.,0 lbs. 14.4 oz.
Orangespotted Sunfish,1,10,0 lbs. 3 oz.,0 lbs. 0.5 oz.
Pumpkinseed,1,10,0 lbs. 11.25 oz.,
Redear Sunfish,1,10,1 lbs. 14 oz.,1 lbs. 1 oz.
Brook Trout,1,14,5 lbs. 1 oz.,0 lbs. 7 oz.
Brown Trout,4,22,20 lbs. 1 oz.,9 lbs. 13 oz.
Cutthroat Trout,3,20,5 lbs. 7 oz.,2 lbs. 3 oz.
Rainbow Trout,5,23,14 lbs. 2 oz.,11 lbs.
Tiger Trout,3,20,6 lbs. 13 oz.,2 lbs. 8 oz.
Walleye,8,28,16 lbs. 2 oz.,11 lbs. 1 oz.
